,pv_count,pv_ratio,visit_count,visitor_count,new_visitor_count,new_visitor_ratio,ip_count,bounce_ratio,avg_visit_time,avg_visit_pages,trans_count,trans_ratio,visitor,date
10,140,0.98,7,5,0,0,4,28.57,2035,20.0,--,--,old,2019/09/04
11,133,0.94,4,2,0,0,2,50,2240,33.25,--,--,old,2019/12/08
12,130,0.91,5,3,0,0,3,0,2806,26.0,--,--,old,2019/05/05
13,127,0.89,8,3,0,0,4,12.5,1752,15.88,--,--,old,2019/09/23
14,125,0.88,6,3,0,0,3,0,1940,20.83,--,--,old,2019/12/25
15,124,0.87,8,4,0,0,4,12.5,2791,15.5,--,--,old,2019/09/16
16,122,0.86,6,2,0,0,2,16.67,1620,20.33,--,--,old,2019/11/04
17,119,0.84,3,2,0,0,2,33.33,4946,39.67,--,--,old,2019/05/12
18,118,0.83,14,6,0,0,6,28.57,1099,8.43,--,--,old,2019/09/17
19,115,0.81,10,8,0,0,7,0,1218,11.5,--,--,old,2019/08/29
20,113,0.79,7,4,0,0,4,14.29,1536,16.14,--,--,old,2019/11/01
21,110,0.77,12,6,0,0,5,16.67,1364,9.17,--,--,old,2019/11/12
22,107,0.75,3,2,0,0,2,0,4292,35.67,--,--,old,2019/05/09
23,103,0.72,6,3,0,0,3,50,2101,17.17,--,--,old,2020/01/07
24,102,0.72,6,4,0,0,4,33.33,2108,17.0,--,--,old,2019/04/14
25,101,0.71,6,4,0,0,5,0,2240,16.83,--,--,old,2019/11/27
26,100,0.7,1,1,0,0,1,0,11238,100.0,--,--,old,2019/12/07
27,99,0.7,5,2,0,0,2,0,1720,19.8,--,--,old,2019/04/09
28,99,0.7,4,2,0,0,2,0,2577,24.75,--,--,old,2019/04/28
29,95,0.67,4,1,0,0,1,0,2937,23.75,--,--,old,2019/07/20
30,94,0.66,6,2,0,0,2,0,2966,15.67,--,--,old,2019/11/30
31,94,0.66,6,6,0,0,6,33.33,1724,15.67,--,--,old,2019/04/15
32,92,0.65,12,2,0,0,2,25,1424,7.67,--,--,old,2020/03/16
33,91,0.64,7,4,0,0,4,28.57,1469,13.0,--,--,old,2019/10/24
34,90,0.63,5,2,0,0,2,0,1753,18.0,--,--,old,2019/09/06
35,89,0.63,9,3,0,0,4,22.22,2806,9.89,--,--,old,2019/03/27
36,86,0.6,2,1,0,0,1,0,4394,43.0,--,--,old,2019/10/20
37,86,0.6,3,3,0,0,3,0,3789,28.67,--,--,old,2019/12/01
38,85,0.6,4,3,0,0,3,25,2625,21.25,--,--,old,2019/07/12
39,84,0.59,8,3,0,0,3,12.5,734,10.5,--,--,old,2019/08/23
40,84,0.59,8,4,0,0,4,25,917,10.5,--,--,old,2019/12/05
41,82,0.58,8,5,0,0,5,0,1424,10.25,--,--,old,2019/08/19
42,81,0.57,3,3,0,0,3,33.33,3832,27.0,--,--,old,2019/04/21
43,80,0.56,6,3,0,0,3,16.67,2378,13.33,--,--,old,2019/06/13
44,80,0.56,3,2,0,0,2,33.33,1600,26.67,--,--,old,2019/11/02
45,80,0.56,4,2,0,0,2,0,4648,20.0,--,--,old,2020/03/18
46,79,0.56,4,2,0,0,2,0,1175,19.75,--,--,old,2019/10/14
47,78,0.55,7,5,0,0,4,28.57,2133,11.14,--,--,old,2019/08/21
48,77,0.54,3,2,0,0,2,0,1629,25.67,--,--,old,2019/08/31
49,76,0.53,5,4,0,0,4,20,2907,15.2,--,--,old,2019/12/26
50,76,0.53,5,1,0,0,1,20,1821,15.2,--,--,old,2019/09/03
51,76,0.53,4,3,0,0,3,25,3402,19.0,--,--,old,2019/06/22
52,75,0.53,4,3,0,0,3,0,3036,18.75,--,--,old,2019/06/02
53,74,0.52,8,4,0,0,4,25,1773,9.25,--,--,old,2019/08/13
54,74,0.52,6,4,0,0,4,50,2098,12.33,--,--,old,2019/05/29
55,72,0.51,3,1,0,0,1,0,2507,24.0,--,--,old,2019/04/10
56,72,0.51,4,2,0,0,2,0,2942,18.0,--,--,old,2019/07/21
57,72,0.51,5,2,0,0,2,20,2042,14.4,--,--,old,2019/04/02
58,72,0.51,8,2,0,0,3,0,1051,9.0,--,--,old,2020/01/09
59,71,0.5,9,6,0,0,6,33.33,801,7.89,--,--,old,2019/12/23
60,71,0.5,8,5,0,0,5,12.5,1044,8.88,--,--,old,2020/01/06
61,70,0.49,9,5,0,0,5,11.11,538,7.78,--,--,old,2019/09/19
62,68,0.48,5,5,0,0,5,40,2909,13.6,--,--,old,2019/06/12
63,68,0.48,5,4,0,0,4,0,1594,13.6,--,--,old,2019/07/23
64,67,0.47,5,3,0,0,3,20,1614,13.4,--,--,old,2019/10/16
65,67,0.47,6,2,0,0,2,16.67,1847,11.17,--,--,old,2019/10/26
66,67,0.47,8,5,0,0,5,12.5,184,8.38,--,--,old,2019/10/21
67,67,0.47,5,2,0,0,2,0,1763,13.4,--,--,old,2019/10/18
68,67,0.47,4,3,0,0,3,0,906,16.75,--,--,old,2019/08/09
69,67,0.47,5,5,0,0,5,20,1608,13.4,--,--,old,2019/09/12
70,66,0.46,4,3,0,0,3,0,1778,16.5,--,--,old,2019/05/31
71,66,0.46,8,3,0,0,3,50,391,8.25,--,--,old,2019/12/27
72,66,0.46,3,3,0,0,3,33.33,968,22.0,--,--,old,2019/05/07
73,64,0.45,3,3,0,0,3,0,2882,21.33,--,--,old,2019/05/08
74,64,0.45,7,1,0,0,1,14.29,2149,9.14,--,--,old,2020/03/20
75,63,0.44,7,3,0,0,3,14.29,994,9.0,--,--,old,2019/11/08
76,63,0.44,3,2,0,0,2,0,2635,21.0,--,--,old,2019/04/26
77,62,0.44,2,1,0,0,1,0,5740,31.0,--,--,old,2019/04/18
78,62,0.44,10,6,0,0,6,0,1011,6.2,--,--,old,2019/11/29
