,pv_count,pv_ratio,visit_count,visitor_count,new_visitor_count,new_visitor_ratio,ip_count,avg_visit_time,avg_visit_pages,date,anno_number,disease_number,genedesc_number
331,26,0.18,3,3,0,0,3,1382,8.67,2019-10-10,1485,228,753
332,26,0.18,9,4,0,0,6,456,2.89,2019-03-08,1283,228,685
333,26,0.18,6,3,0,0,3,644,4.33,2020-02-27,1493,228,754
334,25,0.18,4,2,0,0,2,1374,6.25,2019-08-12,1464,228,743
335,25,0.18,6,3,0,0,3,807,4.17,2019-10-27,1485,228,754
336,25,0.18,5,3,0,0,3,618,5.0,2019-08-14,1466,228,744
337,25,0.18,3,3,0,0,3,1475,8.33,2019-06-27,1385,228,735
338,25,0.18,4,4,0,0,4,1057,6.25,2019-12-19,1486,228,754
339,25,0.18,2,2,0,0,2,2770,12.5,2020-01-12,1489,228,754
340,24,0.17,3,1,0,0,1,247,8.0,2019-11-09,1486,228,754
341,24,0.17,7,4,0,0,3,928,3.43,2020-03-23,1499,228,754
342,23,0.16,1,1,0,0,1,1580,23.0,2019-05-09,1350,228,717
343,23,0.16,3,3,0,0,3,139,7.67,2019-09-21,1482,228,753
344,22,0.15,4,1,0,0,1,672,5.5,2020-02-13,1492,228,754
345,22,0.15,3,1,0,0,1,1066,7.33,2019-04-27,1347,228,717
346,22,0.15,4,2,0,0,2,908,5.5,2020-01-11,1488,228,754
347,21,0.15,2,1,0,0,1,2100,10.5,2019-05-19,1358,228,720
348,21,0.15,1,1,0,0,1,6503,21.0,2020-02-06,1489,228,754
349,21,0.15,4,2,0,0,1,1288,5.25,2019-06-14,1380,228,730
350,20,0.14,5,3,0,0,3,934,4.0,2020-02-26,1493,228,754
351,20,0.14,4,3,0,0,3,704,5.0,2019-07-16,1389,228,738
352,20,0.14,2,2,0,0,2,197,10.0,2019-07-02,1386,228,736
353,19,0.13,2,2,0,0,2,1599,9.5,2019-07-26,1390,228,739
354,19,0.13,8,4,0,0,4,729,2.38,2019-03-13,1283,228,703
355,19,0.13,2,1,0,0,1,1764,9.5,2020-01-16,1489,228,754
356,19,0.13,2,2,0,0,2,656,9.5,2020-02-12,1492,228,754
357,19,0.13,3,1,0,0,1,863,6.33,2020-02-28,1493,228,754
358,19,0.13,2,2,0,0,2,200,9.5,2020-01-10,1488,228,754
359,19,0.13,1,1,0,0,1,3566,19.0,2019-10-17,1485,228,754
360,18,0.13,5,5,0,0,5,197,3.6,2019-12-31,1486,228,754
361,18,0.13,3,3,0,0,3,1126,6.0,2019-03-03,1283,228,685
362,18,0.13,1,1,0,0,1,1395,18.0,2019-10-02,1485,228,753
363,18,0.13,1,1,0,0,1,3144,18.0,2019-04-04,1303,228,707
364,18,0.13,7,3,0,0,3,148,2.57,2020-01-20,1489,228,754
365,18,0.13,5,2,0,0,2,321,3.6,2020-01-03,1488,228,754
366,18,0.13,2,2,0,0,2,2463,9.0,2019-04-01,1295,228,705
367,18,0.13,4,3,0,0,3,469,4.5,2020-01-30,1489,228,754
368,17,0.12,3,2,0,0,2,870,5.67,2019-10-13,1485,228,754
369,17,0.12,8,3,0,0,3,354,2.13,2019-03-05,1283,228,685
370,17,0.12,3,1,0,0,1,247,5.67,2019-05-01,1349,228,717
371,17,0.12,2,1,0,0,1,1698,8.5,2019-09-29,1485,228,753
372,17,0.12,1,1,0,0,1,3043,17.0,2019-08-25,1471,228,746
373,17,0.12,6,3,0,0,3,701,2.83,2019-09-24,1485,228,753
374,17,0.12,3,2,0,0,2,131,5.67,2019-07-22,1389,228,739
375,16,0.11,1,1,0,0,1,806,16.0,2019-12-18,1486,228,754
376,16,0.11,3,2,0,0,2,296,5.33,2020-03-31,1499,228,754
377,15,0.11,4,3,0,0,3,259,3.75,2019-06-03,1360,228,729
378,15,0.11,5,4,0,0,4,234,3.0,2019-08-27,1471,228,751
379,15,0.11,5,4,0,0,4,133,3.0,2019-06-24,1385,228,735
380,15,0.11,1,1,0,0,1,5300,15.0,2019-07-05,1386,228,736
381,15,0.11,3,2,0,0,2,262,5.0,2019-11-20,1486,228,754
382,15,0.11,5,4,0,0,4,604,3.0,2019-12-12,1486,228,754
383,15,0.11,5,2,0,0,2,456,3.0,2020-02-28,1493,228,754
384,15,0.11,3,3,0,0,3,277,5.0,2019-07-15,1389,228,738
385,14,0.1,2,1,0,0,1,383,7.0,2020-03-05,1493,228,754
386,14,0.1,4,2,0,0,2,648,3.5,2019-12-17,1486,228,754
387,14,0.1,2,2,0,0,2,807,7.0,2020-02-16,1492,228,754
388,14,0.1,1,1,0,0,1,404,14.0,2019-03-31,1295,228,705
389,14,0.1,3,2,0,0,2,805,4.67,2019-09-30,1485,228,753
390,14,0.1,4,3,0,0,3,553,3.5,2019-08-17,1466,228,745
391,14,0.1,3,3,0,0,3,267,4.67,2020-01-04,1488,228,754
392,14,0.1,3,2,0,0,2,628,4.67,2020-01-19,1489,228,754
393,13,0.09,5,3,0,0,3,701,2.6,2019-03-01,1283,228,685
394,13,0.09,5,2,0,0,2,391,2.6,2020-03-13,1499,228,754
395,13,0.09,2,1,0,0,1,1633,6.5,2019-06-12,1367,228,729
396,13,0.09,3,1,0,0,1,1119,4.33,2019-05-30,1359,228,729
397,13,0.09,4,2,0,0,2,390,3.25,2019-05-25,1358,228,720
398,13,0.09,4,4,0,0,4,676,3.25,2019-08-02,1454,228,739
399,13,0.09,3,2,0,0,2,673,4.33,2019-07-13,1389,228,738
400,13,0.09,2,2,0,0,2,245,6.5,2019-04-13,1318,228,708
401,12,0.08,3,1,0,0,1,171,4.0,2019-12-28,1486,228,754
402,12,0.08,1,1,0,0,1,1263,12.0,2019-05-11,1354,228,717
403,12,0.08,2,2,0,0,2,1118,6.0,2019-09-18,1482,228,753
404,12,0.08,6,2,0,0,3,293,2.0,2019-03-02,1283,228,685
405,12,0.08,12,12,0,0,2,120,1.0,2019-08-07,1464,228,743
406,12,0.08,2,2,0,0,2,1011,6.0,2019-12-06,1486,228,754
